TotalDrinkUnitSales;TotalDrinkSales;TotalFoodSales;TotalFoodUnitSales;TotalNonConUnitSales;TotalNonConSales;customer_id;marital_status;yearly_income;gender;total_children;num_children_at_home;education;member_card;occupation;houseowner;num_cars_owned
6;10;98;51;0;0;1.737;M;$30K - $50K;M;5;2;Partial College;Golden;Clerical;N;4
15;29;147;74;38;93;1.738;S;$10K - $30K;M;4;0;Partial High School;Normal;Manual;N;2
0;0;0;0;0;0;1.739;S;$30K - $50K;M;0;0;Partial High School;Bronze;Manual;N;3
2;6;72;32;3;5;1.740;M;$50K - $70K;F;1;1;Bachelors Degree;Bronze;Professional;Y;2
12;18;160;73;5;4;1.741;M;$70K - $90K;M;4;1;Bachelors Degree;Bronze;Professional;Y;2
0;0;44;17;0;0;1.742;M;$30K - $50K;F;2;1;High School Degree;Bronze;Skilled Manual;Y;4
10;11;130;61;25;61;1.743;M;$50K - $70K;M;3;3;Bachelors Degree;Golden;Professional;Y;4
4;5;617;275;55;112;1.744;M;$30K - $50K;M;3;3;High School Degree;Golden;Skilled Manual;N;2
57;110;321;152;41;84;1.745;M;$10K - $30K;M;3;2;Partial High School;Normal;Manual;Y;2
6;11;9;8;2;4;1.746;S;$10K - $30K;F;3;0;Partial High School;Normal;Skilled Manual;Y;0
0;0;91;38;23;58;1.747;S;$30K - $50K;F;1;0;High School Degree;Bronze;Skilled Manual;N;2
16;26;63;26;18;41;1.748;S;$10K - $30K;F;1;0;Partial High School;Normal;Skilled Manual;N;1
0;0;10;5;0;0;1.749;S;$50K - $70K;M;0;0;High School Degree;Bronze;Manual;Y;3
4;2;37;25;7;12;1.750;S;$70K - $90K;F;3;0;Bachelors Degree;Bronze;Professional;Y;4
4;10;142;65;11;23;1.751;M;$70K - $90K;F;3;3;Partial High School;Golden;Management;N;2
0;0;7;6;0;0;1.752;M;$110K - $130K;M;5;2;High School Degree;Bronze;Management;Y;2
65;153;694;320;68;133;1.753;M;$10K - $30K;F;3;0;High School Degree;Bronze;Manual;Y;2
2;4;216;100;28;62;1.754;S;$70K - $90K;F;5;0;Bachelors Degree;Bronze;Management;N;1
4;7;53;24;2;4;1.755;M;$110K - $130K;F;1;1;Graduate Degree;Bronze;Management;Y;1
3;12;39;14;2;4;1.756;M;$10K - $30K;F;1;1;Partial College;Normal;Management;Y;0
0;0;0;0;0;0;1.757;M;$10K - $30K;F;1;1;Bachelors Degree;Normal;Professional;N;1
23;46;427;202;37;78;1.758;S;$30K - $50K;F;4;0;Partial High School;Bronze;Skilled Manual;Y;4
8;7;125;63;22;54;1.759;M;$10K - $30K;F;0;0;Partial High School;Normal;Skilled Manual;Y;1
3;8;57;28;19;55;1.760;M;$30K - $50K;F;2;2;Bachelors Degree;Bronze;Professional;Y;4
3;12;77;35;9;17;1.761;S;$30K - $50K;F;2;0;Partial College;Bronze;Skilled Manual;N;2
3;7;6;4;8;19;1.762;S;$30K - $50K;M;4;0;Partial College;Normal;Professional;N;2
5;12;159;69;17;33;1.763;M;$50K - $70K;M;4;2;Bachelors Degree;Bronze;Professional;Y;2
0;0;0;0;0;0;1.764;S;$10K - $30K;M;0;0;Partial High School;Normal;Skilled Manual;N;1
6;18;103;41;11;30;1.765;S;$110K - $130K;M;2;0;Bachelors Degree;Bronze;Professional;Y;3
7;15;90;38;6;9;1.766;S;$30K - $50K;F;3;0;Partial High School;Bronze;Skilled Manual;Y;3
3;10;84;42;9;26;1.767;S;$70K - $90K;M;1;0;Bachelors Degree;Bronze;Professional;Y;3
10;24;46;30;25;51;1.768;S;$30K - $50K;F;3;0;High School Degree;Golden;Skilled Manual;N;3
24;42;208;93;22;41;1.769;S;$30K - $50K;F;4;0;High School Degree;Bronze;Skilled Manual;N;2
59;111;1.057;509;109;254;1.770;S;$30K - $50K;M;5;0;High School Degree;Bronze;Skilled Manual;N;4
0;0;38;14;6;18;1.771;M;$110K - $130K;M;4;4;High School Degree;Golden;Management;Y;2
6;10;97;41;9;12;1.772;S;$30K - $50K;F;3;0;High School Degree;Bronze;Skilled Manual;N;2
33;68;337;171;53;111;1.773;M;$30K - $50K;M;2;1;High School Degree;Normal;Skilled Manual;N;3
0;0;13;5;0;0;1.774;S;$90K - $110K;F;1;0;Bachelors Degree;Bronze;Professional;Y;4
0;0;0;0;0;0;1.775;M;$50K - $70K;M;0;0;Bachelors Degree;Bronze;Professional;Y;3
0;0;0;0;0;0;1.776;M;$50K - $70K;M;2;2;Bachelors Degree;Bronze;Professional;N;1
11;15;198;85;15;35;1.777;S;$10K - $30K;M;3;0;Partial High School;Normal;Skilled Manual;N;1
3;12;36;21;16;42;1.778;M;$30K - $50K;M;0;0;High School Degree;Bronze;Skilled Manual;N;2
0;0;9;4;2;4;1.779;S;$30K - $50K;M;1;0;High School Degree;Bronze;Skilled Manual;Y;1
20;52;274;117;29;54;1.780;S;$50K - $70K;F;3;0;Bachelors Degree;Bronze;Management;Y;1
2;3;69;32;2;6;1.781;S;$30K - $50K;M;0;0;Partial High School;Bronze;Skilled Manual;Y;2
3;10;32;12;6;8;1.782;M;$50K - $70K;F;0;0;Bachelors Degree;Bronze;Management;Y;2
0;0;75;42;10;23;1.783;M;$30K - $50K;M;1;1;High School Degree;Bronze;Manual;Y;1
7;12;91;36;9;18;1.784;M;$50K - $70K;F;5;5;Bachelors Degree;Golden;Professional;Y;2
34;66;434;214;58;143;1.785;S;$70K - $90K;F;5;0;High School Degree;Bronze;Professional;N;3
4;2;68;34;17;44;1.786;S;$30K - $50K;M;0;0;High School Degree;Bronze;Manual;N;2
52;108;1.115;525;127;298;1.787;M;$10K - $30K;F;2;1;Partial High School;Normal;Skilled Manual;Y;1
22;45;202;115;10;18;1.788;M;$30K - $50K;F;5;4;High School Degree;Golden;Manual;N;2
0;0;0;0;3;8;1.789;M;$130K - $150K;M;4;3;Bachelors Degree;Golden;Management;Y;3
0;0;0;0;0;0;1.790;S;$10K - $30K;M;3;0;Partial High School;Normal;Manual;Y;1
3;2;281;128;35;64;1.791;S;$110K - $130K;M;1;0;Bachelors Degree;Bronze;Professional;N;2
8;20;137;63;15;26;1.792;S;$10K - $30K;M;4;0;Partial High School;Normal;Skilled Manual;Y;1
5;10;143;70;16;30;1.793;S;$50K - $70K;F;0;0;Partial College;Bronze;Management;N;3
13;31;146;70;20;31;1.794;S;$70K - $90K;F;4;0;Bachelors Degree;Bronze;Professional;N;3
0;0;97;49;7;13;1.795;S;$50K - $70K;M;4;0;Bachelors Degree;Bronze;Management;N;2
2;3;14;6;2;3;1.796;S;$30K - $50K;F;2;0;Bachelors Degree;Golden;Professional;N;3
0;0;0;0;0;0;1.797;S;$70K - $90K;F;1;0;High School Degree;Bronze;Management;N;1
19;35;470;206;52;100;1.798;S;$10K - $30K;M;0;0;Partial High School;Normal;Skilled Manual;N;1
8;19;69;48;9;26;1.799;S;$70K - $90K;M;5;0;Graduate Degree;Bronze;Management;N;4
14;43;137;63;27;61;1.800;S;$50K - $70K;F;5;0;Partial College;Bronze;Professional;Y;2
0;0;72;36;9;16;1.801;M;$90K - $110K;F;3;1;Partial High School;Bronze;Professional;Y;3
11;19;427;183;39;81;1.802;M;$50K - $70K;F;1;0;Bachelors Degree;Bronze;Management;Y;4
0;0;0;0;0;0;1.803;S;$10K - $30K;F;2;0;Partial High School;Bronze;Manual;N;0
0;0;0;0;0;0;1.804;S;$130K - $150K;M;4;0;High School Degree;Silver;Management;Y;1
6;11;283;115;11;25;1.805;S;$30K - $50K;F;1;0;High School Degree;Bronze;Manual;N;2
7;13;36;19;8;13;1.806;S;$50K - $70K;M;4;0;Bachelors Degree;Bronze;Professional;N;2
5;3;55;31;10;19;1.807;M;$10K - $30K;F;1;0;Partial High School;Normal;Skilled Manual;Y;0
4;9;69;34;11;22;1.808;S;$10K - $30K;M;4;0;Partial High School;Normal;Manual;N;0
0;0;0;0;0;0;1.809;S;$70K - $90K;M;3;0;Bachelors Degree;Bronze;Professional;N;3
1;1;23;12;3;4;1.810;M;$50K - $70K;F;0;0;Bachelors Degree;Golden;Professional;Y;1
3;8;188;78;18;54;1.811;S;$30K - $50K;M;4;0;Partial High School;Bronze;Manual;N;1
43;76;469;214;75;176;1.812;S;$30K - $50K;M;5;0;High School Degree;Silver;Skilled Manual;Y;2
31;65;493;235;43;104;1.813;S;$30K - $50K;F;4;0;Partial High School;Bronze;Manual;Y;3
3;6;69;36;6;11;1.814;M;$30K - $50K;M;2;1;Partial High School;Bronze;Skilled Manual;Y;3
7;6;45;28;17;42;1.815;M;$30K - $50K;M;5;4;Partial High School;Golden;Manual;Y;2
0;0;0;0;0;0;1.816;M;$50K - $70K;M;3;3;Bachelors Degree;Golden;Management;Y;2
3;8;76;35;0;0;1.817;S;$50K - $70K;M;1;0;Bachelors Degree;Bronze;Professional;N;4
0;0;171;75;30;56;1.818;M;$30K - $50K;M;4;3;Partial College;Golden;Clerical;Y;2
3;7;69;26;10;23;1.819;S;$70K - $90K;M;4;0;Graduate Degree;Silver;Professional;N;2
14;15;117;59;12;27;1.820;S;$70K - $90K;M;4;0;Bachelors Degree;Bronze;Professional;Y;4
17;26;295;139;31;73;1.821;S;$30K - $50K;M;4;0;High School Degree;Golden;Skilled Manual;N;2
5;12;91;41;5;9;1.822;M;$130K - $150K;M;2;2;Bachelors Degree;Bronze;Professional;Y;1
9;20;157;80;42;56;1.823;S;$10K - $30K;M;2;0;Bachelors Degree;Normal;Management;Y;2
0;0;0;0;0;0;1.824;M;$10K - $30K;M;5;5;Partial High School;Normal;Manual;Y;2
16;50;296;132;26;49;1.825;M;$30K - $50K;M;5;5;High School Degree;Golden;Skilled Manual;Y;3
4;14;75;35;16;35;1.826;S;$30K - $50K;M;0;0;Partial College;Bronze;Skilled Manual;Y;2
12;15;86;40;28;53;1.827;M;$30K - $50K;M;5;4;Partial High School;Golden;Manual;N;3
0;0;61;30;11;24;1.828;S;$110K - $130K;M;4;0;High School Degree;Bronze;Professional;N;3
13;29;110;49;14;33;1.829;S;$50K - $70K;M;3;0;Bachelors Degree;Bronze;Professional;Y;4
0;0;0;0;0;0;1.830;M;$30K - $50K;F;4;1;Bachelors Degree;Bronze;Professional;Y;3
0;0;22;9;5;5;1.831;M;$50K - $70K;M;2;2;Bachelors Degree;Bronze;Management;N;3
6;17;210;91;28;76;1.832;S;$10K - $30K;F;4;0;Partial High School;Normal;Manual;N;1
4;11;76;38;4;10;1.833;S;$10K - $30K;F;4;0;Partial High School;Normal;Manual;N;1
2;2;25;18;7;16;1.834;M;$50K - $70K;M;1;1;High School Degree;Bronze;Skilled Manual;Y;4
5;11;45;19;18;45;1.835;S;$30K - $50K;M;4;0;High School Degree;Bronze;Manual;Y;2
38;76;420;194;46;90;1.836;M;$30K - $50K;F;3;3;Partial College;Golden;Professional;Y;2
0;0;0;0;0;0;1.837;M;$150K +;M;2;2;High School Degree;Golden;Professional;Y;4
7;8;216;90;33;76;1.838;S;$10K - $30K;M;3;0;Partial High School;Golden;Manual;Y;0
15;32;111;48;15;34;1.839;M;$70K - $90K;F;3;3;High School Degree;Golden;Professional;Y;3
0;0;0;0;0;0;1.840;M;$70K - $90K;F;3;3;Partial High School;Bronze;Management;N;2
2;4;78;35;7;15;1.841;M;$50K - $70K;M;1;1;Partial High School;Bronze;Manual;Y;3
2;1;69;38;4;15;1.842;M;$90K - $110K;F;2;2;Bachelors Degree;Bronze;Professional;N;2
6;16;116;51;3;2;1.843;M;$50K - $70K;M;2;2;Bachelors Degree;Silver;Professional;Y;1
8;14;272;121;16;38;1.844;M;$30K - $50K;M;1;1;Partial College;Bronze;Skilled Manual;Y;3
12;26;357;159;40;72;1.845;S;$30K - $50K;F;2;0;Partial College;Bronze;Management;N;2
0;0;0;0;0;0;1.846;S;$90K - $110K;M;4;0;Partial College;Bronze;Management;Y;2
5;7;86;44;9;26;1.847;M;$50K - $70K;F;0;0;Bachelors Degree;Golden;Professional;N;2
4;5;201;87;16;39;1.848;S;$50K - $70K;M;0;0;Bachelors Degree;Bronze;Professional;Y;1
0;0;28;20;18;41;1.849;S;$70K - $90K;F;0;0;Bachelors Degree;Normal;Professional;Y;2
57;108;1.050;470;131;296;1.850;S;$130K - $150K;M;1;0;Bachelors Degree;Bronze;Professional;Y;4
0;0;0;0;1;4;1.851;S;$30K - $50K;F;3;0;High School Degree;Bronze;Manual;Y;3
0;0;1;1;5;13;1.852;S;$30K - $50K;F;0;0;Partial College;Normal;Manual;N;1
36;75;809;392;85;186;1.853;S;$10K - $30K;F;4;0;Bachelors Degree;Normal;Professional;N;0
8;19;19;5;7;15;1.854;M;$10K - $30K;F;4;3;Partial High School;Normal;Manual;N;1
1;3;22;13;6;12;1.855;S;$10K - $30K;M;1;0;Partial High School;Silver;Skilled Manual;N;1
2;5;113;51;9;22;1.856;S;$30K - $50K;F;1;0;High School Degree;Bronze;Manual;N;2
0;0;0;0;0;0;1.857;M;$50K - $70K;M;3;2;Bachelors Degree;Bronze;Professional;Y;4
0;0;0;0;0;0;1.858;S;$50K - $70K;M;2;0;Bachelors Degree;Bronze;Management;Y;3
10;17;36;14;15;17;1.859;S;$50K - $70K;M;0;0;Partial High School;Bronze;Manual;N;3
0;0;6;4;0;0;1.860;S;$70K - $90K;M;3;0;Bachelors Degree;Bronze;Professional;Y;2
4;9;71;35;11;19;1.861;M;$50K - $70K;F;4;2;High School Degree;Silver;Manual;Y;3
19;37;466;210;45;103;1.862;S;$30K - $50K;F;3;0;High School Degree;Silver;Skilled Manual;N;1
28;37;217;108;38;75;1.863;M;$10K - $30K;F;3;3;Partial High School;Normal;Manual;Y;1
3;6;159;76;24;55;1.864;S;$130K - $150K;M;4;0;High School Degree;Bronze;Professional;Y;3
4;14;158;66;17;29;1.865;S;$30K - $50K;F;2;0;High School Degree;Bronze;Manual;Y;2
5;12;90;38;2;5;1.866;M;$30K - $50K;F;1;1;High School Degree;Bronze;Manual;Y;3
0;0;0;0;0;0;1.867;M;$110K - $130K;M;1;0;High School Degree;Bronze;Professional;Y;1
7;8;80;48;15;36;1.868;M;$10K - $30K;M;4;4;Partial High School;Normal;Skilled Manual;Y;1
3;3;181;76;3;11;1.869;S;$50K - $70K;F;4;0;Bachelors Degree;Bronze;Professional;Y;3
0;0;0;0;0;0;1.870;M;$10K - $30K;F;4;0;Partial High School;Normal;Manual;Y;0
64;135;768;354;77;157;1.871;M;$30K - $50K;F;0;0;Partial High School;Bronze;Skilled Manual;N;3
11;22;86;48;3;6;1.872;S;$10K - $30K;M;4;0;Partial High School;Bronze;Manual;Y;0
0;0;3;4;0;0;1.873;S;$110K - $130K;F;5;0;High School Degree;Bronze;Professional;Y;3
9;16;189;101;43;101;1.874;S;$50K - $70K;M;2;0;Bachelors Degree;Bronze;Professional;Y;3
0;0;0;0;0;0;1.875;M;$50K - $70K;M;1;0;Bachelors Degree;Bronze;Professional;Y;2
0;0;0;0;0;0;1.876;M;$30K - $50K;F;1;0;Partial College;Bronze;Professional;N;3
4;10;100;47;16;33;1.877;M;$70K - $90K;F;0;0;Bachelors Degree;Bronze;Management;N;4
0;0;125;63;15;41;1.878;S;$70K - $90K;F;2;0;Bachelors Degree;Bronze;Management;Y;2
0;0;0;0;0;0;1.879;S;$70K - $90K;M;1;0;High School Degree;Silver;Management;Y;1
0;0;0;0;0;0;1.880;S;$30K - $50K;M;5;0;Partial College;Bronze;Skilled Manual;N;1
0;0;47;25;3;6;1.881;M;$30K - $50K;M;1;0;High School Degree;Bronze;Manual;Y;3
8;24;212;92;9;18;1.882;S;$50K - $70K;M;5;0;Bachelors Degree;Silver;Professional;N;4
12;23;157;67;7;11;1.883;M;$70K - $90K;M;1;1;Bachelors Degree;Bronze;Management;Y;2
0;0;20;11;5;14;1.884;S;$10K - $30K;F;2;0;Partial High School;Normal;Manual;N;2
0;0;0;0;0;0;1.885;M;$70K - $90K;F;2;2;Partial College;Bronze;Management;Y;2
0;0;6;3;0;0;1.886;S;$110K - $130K;F;4;0;Partial High School;Silver;Professional;Y;3
13;26;82;46;9;22;1.887;M;$30K - $50K;M;5;5;High School Degree;Golden;Manual;Y;3
0;0;0;0;0;0;1.888;M;$10K - $30K;F;3;3;Partial High School;Normal;Skilled Manual;Y;0
2;4;21;8;2;5;1.889;M;$130K - $150K;F;1;1;Partial College;Golden;Professional;Y;3
8;14;218;97;26;63;1.890;M;$50K - $70K;M;4;3;Bachelors Degree;Golden;Management;N;3
3;4;107;56;23;47;1.891;S;$10K - $30K;M;0;0;Partial High School;Normal;Skilled Manual;Y;2
0;0;66;30;3;5;1.892;S;$50K - $70K;M;5;0;Bachelors Degree;Bronze;Professional;N;3
6;17;267;115;2;3;1.893;S;$30K - $50K;M;2;0;Partial College;Bronze;Professional;N;3
22;44;225;98;44;110;1.894;S;$10K - $30K;F;3;0;Partial High School;Normal;Skilled Manual;Y;2
0;0;25;12;9;14;1.895;S;$50K - $70K;M;1;0;High School Degree;Bronze;Manual;Y;2
8;19;147;65;11;24;1.896;M;$10K - $30K;F;3;3;Partial High School;Normal;Skilled Manual;Y;1
19;44;202;90;27;56;1.897;S;$130K - $150K;F;4;0;Graduate Degree;Bronze;Professional;Y;2
0;0;57;34;18;32;1.898;S;$70K - $90K;M;1;0;Partial High School;Bronze;Professional;N;2
3;8;77;33;0;0;1.899;S;$150K +;M;3;0;Bachelors Degree;Silver;Professional;Y;2
4;6;99;41;2;2;1.900;S;$130K - $150K;F;3;0;High School Degree;Bronze;Management;Y;2
0;0;55;26;11;31;1.901;M;$30K - $50K;M;2;2;High School Degree;Silver;Manual;Y;3
3;7;83;48;5;18;1.902;S;$50K - $70K;M;1;0;Bachelors Degree;Bronze;Management;N;3
0;0;4;2;4;10;1.903;M;$10K - $30K;F;1;1;Partial High School;Normal;Skilled Manual;Y;0
5;12;53;25;4;9;1.904;S;$30K - $50K;M;2;0;High School Degree;Silver;Skilled Manual;Y;2
2;4;47;17;11;21;1.905;M;$30K - $50K;M;1;1;High School Degree;Bronze;Skilled Manual;Y;2
11;22;97;52;26;42;1.906;M;$50K - $70K;M;1;1;Bachelors Degree;Bronze;Professional;Y;4
0;0;22;9;1;4;1.907;M;$10K - $30K;M;1;1;Partial High School;Normal;Manual;N;0
0;0;61;35;6;11;1.908;S;$10K - $30K;F;0;0;Partial High School;Normal;Manual;N;1
0;0;0;0;0;0;1.909;M;$90K - $110K;F;1;1;High School Degree;Bronze;Professional;Y;3
5;18;107;42;27;64;1.910;S;$10K - $30K;F;1;0;Partial High School;Normal;Manual;Y;1
0;0;14;9;0;0;1.911;S;$50K - $70K;M;2;0;Bachelors Degree;Bronze;Professional;Y;1
0;0;17;8;3;12;1.912;S;$50K - $70K;F;4;0;Bachelors Degree;Bronze;Professional;N;2
0;0;78;45;6;9;1.913;M;$70K - $90K;M;3;3;Partial High School;Silver;Professional;Y;3
7;16;90;37;8;24;1.914;S;$70K - $90K;M;2;0;Bachelors Degree;Golden;Professional;N;1
6;11;141;71;23;49;1.915;S;$150K +;M;1;0;High School Degree;Silver;Professional;Y;2
14;35;168;71;36;64;1.916;S;$10K - $30K;M;3;0;Partial High School;Normal;Skilled Manual;N;1
14;35;276;131;46;104;1.917;M;$70K - $90K;M;1;0;Bachelors Degree;Bronze;Professional;N;2
13;37;66;37;18;45;1.918;M;$30K - $50K;F;0;0;High School Degree;Bronze;Skilled Manual;N;3
0;0;19;18;3;4;1.919;M;$110K - $130K;F;5;4;Partial College;Normal;Professional;Y;3
4;3;50;25;9;18;1.920;S;$150K +;M;2;0;Bachelors Degree;Silver;Professional;Y;1
3;9;112;45;7;11;1.921;M;$30K - $50K;F;4;3;High School Degree;Golden;Skilled Manual;Y;3
2;6;147;58;12;23;1.922;S;$50K - $70K;M;2;0;High School Degree;Bronze;Manual;N;1
6;19;103;57;15;28;1.923;S;$30K - $50K;F;1;0;High School Degree;Bronze;Skilled Manual;N;2
2;5;9;3;0;0;1.924;S;$50K - $70K;M;4;0;Bachelors Degree;Bronze;Professional;N;1
1;2;32;15;6;14;1.925;S;$70K - $90K;F;4;0;Bachelors Degree;Bronze;Management;N;2
0;0;11;3;0;0;1.926;M;$30K - $50K;F;2;1;Partial College;Bronze;Clerical;N;1
0;0;0;0;0;0;1.927;S;$30K - $50K;F;3;0;Partial College;Bronze;Skilled Manual;N;3
8;10;112;50;13;33;1.928;M;$10K - $30K;F;2;2;Partial High School;Normal;Manual;Y;0
12;31;101;55;10;15;1.929;S;$30K - $50K;F;1;0;High School Degree;Silver;Skilled Manual;Y;3
52;90;670;301;88;200;1.930;S;$10K - $30K;F;4;0;Partial High School;Normal;Manual;N;1
0;0;51;32;5;14;1.931;M;$110K - $130K;M;1;0;High School Degree;Bronze;Professional;N;2
4;13;61;30;13;24;1.932;M;$30K - $50K;M;2;1;High School Degree;Silver;Manual;Y;2
0;0;2;3;9;17;1.933;S;$30K - $50K;M;4;0;High School Degree;Bronze;Manual;Y;3
1;3;43;23;11;25;1.934;M;$110K - $130K;F;2;1;Graduate Degree;Bronze;Professional;Y;2
3;9;36;17;13;33;1.935;S;$90K - $110K;F;4;0;High School Degree;Bronze;Professional;Y;3
2;1;79;45;7;11;1.936;S;$10K - $30K;M;4;0;Partial High School;Normal;Manual;Y;2
0;0;10;7;0;0;1.937;M;$10K - $30K;F;4;2;Partial High School;Normal;Manual;Y;1
0;0;100;47;22;39;1.938;S;$70K - $90K;M;3;0;Bachelors Degree;Bronze;Professional;N;1
12;27;245;109;15;31;1.939;M;$10K - $30K;F;5;5;High School Degree;Normal;Skilled Manual;N;0
8;12;166;79;36;70;1.940;M;$90K - $110K;F;1;1;Bachelors Degree;Bronze;Professional;Y;3
4;9;137;71;13;22;1.941;S;$130K - $150K;F;5;0;High School Degree;Bronze;Professional;Y;3
66;152;917;477;139;287;1.942;S;$90K - $110K;F;2;0;High School Degree;Silver;Professional;Y;2
0;0;0;0;0;0;1.943;M;$30K - $50K;M;2;0;Partial High School;Bronze;Skilled Manual;Y;3
3;4;37;16;3;2;1.944;M;$30K - $50K;M;0;0;High School Degree;Bronze;Skilled Manual;Y;3
0;0;8;4;1;2;1.945;S;$70K - $90K;F;2;0;Bachelors Degree;Bronze;Management;N;2
7;7;101;54;21;47;1.946;S;$50K - $70K;M;4;0;Bachelors Degree;Bronze;Professional;N;4
23;36;522;258;58;108;1.947;M;$90K - $110K;M;0;0;Bachelors Degree;Silver;Management;Y;2
19;35;252;124;45;85;1.948;M;$130K - $150K;M;1;1;Partial High School;Golden;Professional;Y;4
0;0;0;0;0;0;1.949;M;$70K - $90K;F;2;2;High School Degree;Bronze;Professional;N;2
9;16;35;23;3;4;1.950;S;$50K - $70K;F;3;0;Bachelors Degree;Bronze;Professional;Y;3
0;0;23;11;0;0;1.951;S;$90K - $110K;M;4;0;Bachelors Degree;Bronze;Professional;Y;1
8;17;112;51;10;17;1.952;M;$30K - $50K;F;1;1;Partial High School;Bronze;Manual;Y;2
9;25;106;58;28;45;1.953;S;$70K - $90K;F;1;0;Bachelors Degree;Silver;Professional;N;3
3;8;171;82;17;43;1.954;M;$70K - $90K;F;3;3;Bachelors Degree;Golden;Management;Y;4
0;0;0;0;0;0;1.955;M;$50K - $70K;F;5;3;Bachelors Degree;Golden;Management;Y;3
0;0;88;49;13;35;1.956;S;$30K - $50K;M;0;0;High School Degree;Bronze;Manual;N;3
6;11;184;84;39;87;1.957;M;$130K - $150K;M;2;2;Partial College;Bronze;Professional;Y;1
11;30;206;84;18;47;1.958;S;$150K +;F;4;0;High School Degree;Silver;Professional;Y;4
10;27;56;29;6;19;1.959;S;$30K - $50K;M;0;0;Bachelors Degree;Bronze;Management;N;2
0;0;46;19;5;14;1.960;M;$90K - $110K;F;3;1;Partial High School;Bronze;Professional;Y;3
3;2;35;21;8;20;1.961;M;$70K - $90K;F;5;5;Partial College;Bronze;Professional;Y;2
10;19;109;54;5;14;1.962;S;$30K - $50K;M;0;0;Partial High School;Bronze;Manual;Y;3
14;17;186;93;5;18;1.963;S;$30K - $50K;M;4;0;Partial College;Silver;Professional;N;1
0;0;11;12;3;7;1.964;S;$30K - $50K;F;3;0;Partial High School;Bronze;Manual;Y;2
45;78;556;258;98;221;1.965;M;$30K - $50K;F;3;1;High School Degree;Bronze;Skilled Manual;Y;3
3;6;66;35;7;22;1.966;S;$30K - $50K;F;5;0;Partial High School;Bronze;Skilled Manual;N;4
4;10;54;25;4;3;1.967;S;$30K - $50K;M;4;0;High School Degree;Bronze;Manual;Y;2
0;0;10;4;0;0;1.968;S;$50K - $70K;M;1;0;Bachelors Degree;Bronze;Professional;N;3
0;0;9;8;2;4;1.969;M;$10K - $30K;F;4;4;Partial High School;Normal;Manual;Y;0
11;20;215;98;24;45;1.970;S;$30K - $50K;F;4;0;High School Degree;Normal;Manual;Y;2
3;8;129;64;6;16;1.971;M;$50K - $70K;F;4;1;Bachelors Degree;Silver;Management;Y;1
28;53;542;271;91;191;1.972;S;$50K - $70K;F;2;0;Bachelors Degree;Bronze;Professional;N;2
11;21;126;58;17;35;1.973;M;$10K - $30K;M;2;1;Partial High School;Normal;Manual;N;0
8;12;31;17;9;20;1.974;M;$10K - $30K;F;1;1;Partial High School;Normal;Skilled Manual;Y;1
13;16;191;90;16;31;1.975;M;$10K - $30K;M;2;1;Partial High School;Normal;Manual;N;2
19;41;290;132;31;90;1.976;S;$110K - $130K;F;4;0;Graduate Degree;Bronze;Professional;Y;2
19;33;376;182;32;76;1.977;M;$10K - $30K;M;4;1;Partial High School;Normal;Skilled Manual;Y;0
0;0;33;20;0;0;1.978;S;$110K - $130K;F;3;0;Partial High School;Bronze;Professional;Y;2
31;55;521;266;116;261;1.979;S;$30K - $50K;M;5;0;High School Degree;Bronze;Skilled Manual;N;3
4;4;57;24;2;3;1.980;M;$10K - $30K;F;4;4;Partial High School;Normal;Skilled Manual;Y;1
4;9;62;37;10;23;1.981;S;$50K - $70K;F;1;0;Bachelors Degree;Bronze;Management;Y;4
3;6;34;16;0;0;1.982;S;$30K - $50K;F;2;0;High School Degree;Bronze;Skilled Manual;N;2
29;56;821;396;53;111;1.983;M;$30K - $50K;M;5;5;High School Degree;Golden;Manual;Y;2
3;7;132;61;0;0;1.984;M;$30K - $50K;F;0;0;Partial College;Silver;Professional;Y;2
1;1;15;6;2;5;1.985;M;$30K - $50K;M;2;2;High School Degree;Bronze;Skilled Manual;Y;2
0;0;0;0;0;0;1.986;S;$90K - $110K;M;2;0;Partial High School;Bronze;Professional;Y;3
6;9;106;46;20;43;1.987;M;$50K - $70K;F;0;0;Bachelors Degree;Bronze;Professional;Y;1
0;0;50;20;10;18;1.988;M;$10K - $30K;M;3;3;Partial High School;Normal;Skilled Manual;Y;2
0;0;0;0;0;0;1.989;S;$10K - $30K;F;2;0;Partial High School;Normal;Manual;N;1
7;15;74;39;20;38;1.990;S;$10K - $30K;F;2;0;Partial High School;Silver;Skilled Manual;Y;0
18;37;407;192;8;22;1.991;S;$50K - $70K;F;1;0;Bachelors Degree;Bronze;Professional;N;4
0;0;0;0;0;0;1.992;M;$110K - $130K;F;1;1;Graduate Degree;Bronze;Professional;Y;1
0;0;47;21;3;11;1.993;M;$10K - $30K;M;4;4;Partial High School;Bronze;Manual;Y;0
20;49;192;93;22;45;1.994;M;$30K - $50K;M;3;2;Partial College;Bronze;Clerical;Y;3
3;7;125;46;9;20;1.995;S;$110K - $130K;F;5;0;Partial College;Bronze;Professional;Y;4
12;24;170;83;24;50;1.996;M;$30K - $50K;F;1;0;Partial College;Bronze;Manual;Y;2
0;0;0;0;0;0;1.997;S;$30K - $50K;F;3;0;High School Degree;Silver;Skilled Manual;N;2
0;0;0;0;0;0;1.998;S;$70K - $90K;M;1;0;Bachelors Degree;Bronze;Professional;N;2
